country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,country_edited,continent,covid_cases,covid_deaths,total_area_km2,average_population
Iran,18.78,IRR,2.14,12.4,76.5,Persian,1.58,32.427908,53.688046,28.2,1648195.0,550.93,445.3453,110.7,68.1,7.4,11.38,Iran,Asia,0,0,1648195,83682240
Iraq,29.08,IQD,3.67,22.5,70.5,Arabic,0.71,33.223191,43.679291,21.4,438317.0,119.86,234.094,108.7,16.2,2.0,12.82,Iraq,Asia,552549,12258,437072,39961060
Republic of Ireland,12.5,EUR,1.75,3.1,82.3,Irish,3.31,53.41291,-8.24389,64.5,70273.0,106.58,388.6987,100.9,77.8,18.3,4.93,Ireland,Europe,72241,2052,84421,4984138
Israel,20.8,ILS,3.09,3.0,82.8,Hebrew,4.62,31.046051,34.851612,24.6,20770.0,108.15,395.0987,104.9,63.4,23.1,3.86,Israel,Asia,332192,2831,22145,8883351
Italy,7.3,EUR,1.29,2.6,82.9,Italian,3.98,41.87194,12.56738,43.2,301340.0,110.62,2001.2444,101.9,61.9,24.3,9.89,Italy,Europe,1585178,54904,301340,60361087
Jamaica,16.1,JMD,1.98,12.4,74.4,Jamaican English,1.31,18.109581,-77.297508,41.0,10991.0,162.47,16.4581,91.0,27.1,26.8,8.0,Jamaica,The Caribean,10763,257,10992,2957440
Japan,7.4,,1.42,1.8,84.2,,2.41,36.204824,138.252924,12.3,377944.0,105.48,5081.7695,98.8,63.2,11.9,2.29,Japan,Asia,148694,2139,377915,126271030
Jordan,21.98,JOD,2.76,13.9,74.4,Arabic,2.32,30.585164,36.238414,12.0,89342.0,125.6,43.7437,81.5,34.4,15.1,14.72,Jordan,Asia,219430,2751,89342,10173882
Kazakhstan,21.77,KZT,2.84,8.8,73.2,Russian,3.25,48.019573,66.923684,80.4,2724900.0,182.75,180.1617,104.4,61.7,11.7,4.59,Kazakhstan,Asia,173806,2477,2700000,18693066
Kenya,28.75,KES,3.49,30.6,66.3,Swahili,0.16,-0.023559,37.906193,48.5,580367.0,180.51,95.5031,103.2,11.5,15.1,2.64,Kenya,Africa,83618,1469,580367,53428295
Kiribati,27.89,AUD,3.57,41.2,68.1,English,0.2,1.8368976,-157.3768317,42.0,811.0,99.55,0.1946,101.3,,22.0,,Kiribati,Oceana,0,0,811,118919
Kuwait,13.94,KWD,2.08,6.7,75.4,Modern Standard Arabic,2.58,29.31166,47.481766,8.4,17818.0,126.6,134.7612,92.4,54.4,1.4,2.18,Kuwait,Asia,142635,880,17818,4252312
Kyrgyzstan,27.1,KGS,3.3,16.9,71.4,Russian,1.88,41.20438,74.766098,55.0,199951.0,155.68,8.4546,107.6,41.3,18.0,6.33,Kyrgyzstan,Asia,72807,1271,199900,6513636
Laos,23.55,LAK,2.67,37.6,67.6,Lao,0.37,19.85627,102.495496,10.3,236800.0,135.87,18.1738,102.4,15.0,12.9,0.63,Laos,Asia,0,0,237955,7245086
Latvia,10.0,EUR,1.6,3.3,74.7,Latvian,3.19,56.879635,24.603189,31.1,64589.0,116.86,34.1172,99.4,88.1,22.9,6.52,Latvia,Europe,16975,197,64589,1895200
Lebanon,17.55,LBP,2.09,6.4,78.9,Arabic,2.1,33.854721,35.862285,64.3,10400.0,130.02,53.367,95.1,26.3,15.3,6.23,Lebanon,Asia,127903,1018,10452,6834225
Lesotho,26.81,,3.14,65.7,53.7,English,0.07,-29.609988,28.233608,77.6,30355.0,155.86,2.4601,120.9,10.2,31.6,23.41,Lesotho,South America,2109,44,30355,2137355
Liberia,33.04,,4.32,53.5,63.7,English,0.04,6.428055,-9.429499,28.0,111369.0,223.13,3.0705,85.1,11.9,12.9,2.81,Liberia,Africa,1598,83,111369,5023300
Libya,18.83,LYD,2.24,10.2,72.7,Arabic,2.09,26.3351,17.228331,8.7,1759540.0,125.71,52.0763,109.0,60.5,,18.56,Libya,Africa,82809,1183,1760000,6844328
Liechtenstein,9.9,CHF,1.44,,83.0,German,,47.1410392,9.520935,32.2,160.0,,6.5529,104.7,35.6,,,Liechtenstein,Europe,1273,15,160,38096
Lithuania,10.0,EUR,1.63,3.3,75.7,Lithuanian,6.35,55.169438,23.881275,47.2,65300.0,118.38,54.2193,103.9,72.4,16.9,6.35,Lithuania,Europe,61325,506,65300,2746778
Luxembourg,10.3,EUR,1.37,1.9,82.1,Luxembourgish,3.01,49.815273,6.129583,53.7,2586.0,115.09,71.1049,102.3,19.2,26.5,5.36,Luxembourg,Europe,33973,306,2586,637872
Madagascar,32.66,MGA,4.08,38.2,66.7,French,0.18,-18.766947,46.869107,71.2,587041.0,184.33,14.0839,142.5,5.4,10.2,1.76,Madagascar,Africa,17341,251,587041,27485041
Malawi,34.12,MWK,4.21,35.3,63.8,English,0.04,-13.254308,34.301525,61.4,118484.0,418.34,7.6667,142.5,0.8,17.3,5.65,Malawi,Africa,6028,185,118484,18986920
Malaysia,16.75,MYR,2.0,6.7,76.0,Malaysian language,1.51,4.210484,101.975766,26.3,329847.0,121.46,364.7015,105.3,45.1,12.0,3.32,Malaysia,Asia,65697,360,329847,32495166
Maldives,14.2,,1.87,7.4,78.6,Divehi,4.56,3.202778,73.22068,26.3,298.0,99.7,5.7292,97.1,31.2,19.5,6.14,Maldives,Asia,13011,46,300,537794
Mali,41.54,XOF,5.88,62.0,58.9,French,0.13,17.570692,-3.996166,33.8,1240192.0,108.73,17.5101,75.6,4.5,11.6,7.22,Mali,Africa,4688,152,1240000,20081951
Malta,9.2,EUR,1.23,6.1,82.3,Maltese,2.86,35.937496,14.375416,32.4,316.0,113.45,14.7862,105.0,54.3,26.2,3.47,Malta,Europe,9501,128,316,472345
Marshall Islands,29.03,USD,4.05,27.4,65.2,Marshallese,0.42,7.131474,171.184478,63.9,181.0,,0.2213,84.7,23.7,17.8,,Marshall Islands,Oceana,4,0,181,59075
Mauritania,33.69,MRU,4.56,51.5,64.7,Arabic,0.19,21.00789,-10.940835,38.5,1030700.0,135.02,7.5938,99.9,5.0,,9.55,Mauritania,Africa,8424,172,1030700,4614294
Mauritius,10.2,MUR,1.41,13.6,74.4,French,2.53,-20.348404,57.552152,42.4,2040.0,129.91,14.1804,101.1,40.6,19.1,6.67,Mauritius,Africa,504,10,2040,1269182
Mexico,17.6,MXN,2.13,11.0,75.0,,2.38,23.634501,-102.552784,54.6,1964375.0,141.54,1258.2867,105.8,40.2,13.1,3.42,Mexico,North America,1107071,105655,1972550,127761435
Federated States of Micronesia,22.82,USD,3.05,25.6,67.8,English,0.18,7.425554,150.550812,31.4,702.0,112.1,0.4019,97.2,14.1,25.2,,Micronesia,Oceana,0,0,702,332516
Moldova,10.1,MDL,1.26,13.6,71.8,Romanian,3.21,47.411631,28.369885,74.2,33851.0,166.2,11.9554,90.6,39.8,17.7,5.47,Moldova,Europe,0,0,33846,3343844
Monaco,5.9,EUR,,2.6,,French,6.56,43.7384176,7.4246158,,2.0,,7.1848,,,,,Monaco,Europe,608,3,2,39162
Mongolia,24.13,MNT,2.9,14.0,69.7,Mongolian,2.86,46.862496,103.846656,71.5,1564116.0,195.76,13.8529,104.0,65.6,16.8,6.01,Mongolia,Asia,791,0,1564116,3263050
Montenegro,11.73,EUR,1.75,2.3,76.8,Montenegrin language,2.76,42.708678,19.37439,19.0,13812.0,116.32,5.4947,100.0,56.1,,14.88,Montenegro,Europe,34887,487,13812,625118
Morocco,18.94,MAD,2.42,19.2,76.5,Arabic,0.73,31.791702,-7.09262,68.5,446550.0,111.07,118.7253,113.9,35.9,21.9,9.02,Morocco,Africa,356335,5846,446550,37003787
Mozambique,37.52,MZN,4.85,54.0,60.2,Portuguese,0.08,-18.665695,35.529562,63.5,799380.0,182.31,14.9342,112.6,7.3,0.0,3.24,Mozambique,Africa,15701,131,801590,31001982
Myanmar,17.55,MMK,2.15,36.8,66.9,Burmese,0.68,21.916221,95.955974,19.5,676578.0,168.18,76.0859,112.3,18.8,5.4,1.58,Myanmar,Asia,89486,1918,676575,54304742
Namibia,28.64,,3.4,29.0,63.4,English,0.42,-22.95764,18.49041,47.1,824292.0,157.97,12.3665,124.2,22.9,27.1,20.27,Namibia,Africa,14380,152,824292,2527616
Nauru,,AUD,,,,English,,-0.522778,166.931503,,21.0,,0.133,,,,,Nauru,Oceana,0,0,21,10468
Nepal,19.89,NPR,1.92,26.7,70.5,Nepali,0.75,28.394857,84.124008,28.7,147181.0,188.73,30.6414,142.1,12.4,20.7,1.41,Nepal,Asia,233452,1508,147516,28985473
New Zealand,11.98,NZD,1.71,4.7,81.9,English,3.59,-40.900557,174.885971,40.5,268838.0,114.24,206.9288,100.0,82.0,29.0,4.07,New Zealand,Oceana,1703,25,268021,4839917
Nicaragua,20.64,NIO,2.4,15.7,74.3,Spanish,0.98,12.865416,-85.207229,42.1,130370.0,162.74,12.5209,120.6,17.4,15.6,6.84,Nicaragua,Central America,4629,160,130373,6601826
Niger,46.08,XOF,6.91,48.0,62.0,French,0.04,17.607789,8.081666,36.1,1267000.0,109.32,12.9281,74.7,4.4,11.8,0.47,Niger,Africa,1548,72,1270000,23952559
Nigeria,37.91,NGN,5.39,75.7,54.3,English,0.38,9.081999,8.675277,77.7,923768.0,267.51,448.1204,84.7,10.2,1.5,8.1,Nigeria,Africa,67557,1173,923768,204659654
Norway,10.4,NOK,1.56,2.1,82.8,Norwegian,2.92,60.472024,8.468946,2.7,323802.0,120.27,403.3364,100.3,82.0,23.9,3.35,Norway,Europe,34747,328,385207,5393548
Oman,19.19,OMR,2.89,9.8,77.6,Arabic,2.0,21.4735329,55.975413,4.6,309500.0,113.53,76.9831,103.4,38.0,2.5,2.67,Oman,Asia,123699,1423,309501,5214835
Pakistan,28.25,PKR,3.51,57.2,67.1,Urdu,0.98,30.375321,69.345116,47.8,796095.0,182.32,304.4,94.3,9.0,9.2,4.45,Pakistan,Asia,398024,8025,881913,219653408
Palau,14.0,USD,2.21,16.6,69.1,English,1.18,7.51498,134.58252,10.9,459.0,118.17,0.284,112.6,54.7,21.3,,Palau,Oceana,0,0,458,18182
Panama,18.98,,2.46,13.1,78.3,Spanish,1.57,8.537981,-80.782127,30.4,75420.0,122.07,66.8008,94.4,47.8,,3.9,Panama,Central America,164729,3060,75517,4295164
Papua New Guinea,27.07,PGK,3.56,38.0,64.3,Tok Pisin,0.07,-6.314993,143.95555,2.6,462840.0,155.99,24.9696,108.5,1.8,13.6,2.46,Papua New Guinea,Oceana,656,7,462840,12963477
Paraguay,20.57,PYG,2.43,17.2,74.1,Spanish,1.35,-23.442503,-58.443832,55.1,406752.0,143.82,38.1453,104.4,34.6,10.0,4.81,Paraguay,South America,81906,1743,406752,7107292
Peru,17.95,PEN,2.25,11.1,76.5,Spanish,1.27,-9.189967,-75.015152,18.5,1285216.0,129.78,226.8481,106.9,70.7,14.3,3.31,Peru,South America,962530,35923,1285220,32839470
Philippines,20.55,PHP,2.58,22.5,71.1,English,0.6,12.879721,121.774017,41.7,300000.0,129.61,376.7955,107.5,35.5,14.0,2.15,Philippines,Asia,431630,8392,300000,109160760
Poland,10.2,PLN,1.46,3.8,77.6,Polish,2.38,51.919438,19.145136,46.9,312685.0,114.11,592.1644,100.0,67.8,17.4,3.47,Poland,Europe,985075,17029,312679,37900066
Portugal,8.5,EUR,1.38,3.1,81.3,Portuguese,5.12,39.399872,-8.224454,39.5,92212.0,110.62,237.6861,106.2,63.9,22.8,6.33,Portugal,Europe,294799,4427,92212,10226856
Qatar,9.54,QAR,1.87,5.8,80.1,Arabic,2.49,25.354826,51.183884,5.8,11586.0,115.38,183.4662,103.8,17.9,14.7,0.09,Qatar,Asia,138833,237,11571,2867022
Romania,9.6,RON,1.71,6.1,75.4,Romanian,2.98,45.943161,24.96676,58.8,238391.0,123.78,250.0774,85.2,49.4,14.6,3.98,Romania,Europe,471536,11193,238397,19270476
Russia,11.5,RUB,1.57,6.1,72.7,Russian,4.01,61.52401,105.318756,13.3,17098240.0,180.75,1699.8766,102.6,81.9,11.4,4.59,Russia,Europe,0,0,17125200,145167128
Rwanda,31.7,RWF,4.04,27.0,68.7,Swahili,0.13,-1.940278,29.873888,73.4,26338.0,151.09,10.1225,133.0,6.7,14.3,1.03,Rwanda,Africa,5934,49,26338,12859465
