country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_USD(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,population,tax_revenue_pct,unemployment_rt
Sudan,32.18,SDG,4.41,42.1,65.1,Arabic,0.26,12.862807,30.217636,28.7,1861484.0,1344.19,18.9023,76.8,16.9,42813238.0,8.0,16.53
Suriname,18.54,SRD,2.42,16.9,71.6,Dutch,1.21,3.919305,-56.027783,0.6,163820.0,294.66,3.9853,108.8,12.6,581372.0,19.5,7.33
Sweden,11.4,SEK,1.76,2.2,82.5,Swedish,3.98,60.128161,18.643501,7.4,450295.0,110.51,530.8329,126.6,67.0,10285453.0,27.9,6.48
Switzerland,10.0,CHF,1.52,3.7,83.6,German,4.3,46.818188,8.227512,38.4,41277.0,99.55,703.0824,105.2,59.6,8574832.0,10.1,4.58
Syria,23.69,SYP,2.81,14.0,71.8,Arabic,1.22,34.802075,38.996815,75.8,185180.0,143.2,40.405,81.7,40.1,17070135.0,14.2,8.37
Tajikistan,30.76,TJS,3.59,30.4,70.9,Persian,1.7,38.861034,71.276093,34.1,144100.0,148.57,8.1166,100.9,31.3,9321018.0,9.8,11.02
Tanzania,36.7,TZS,4.89,37.6,65.0,Swahili,0.01,-6.369028,34.888822,44.8,947300.0,187.43,63.1771,94.2,4.0,58005463.0,11.5,1.98
Thailand,10.34,THB,1.53,7.8,76.9,Thai,0.81,15.870032,100.992541,43.3,513120.0,113.27,543.65,99.8,49.3,69625582.0,14.9,0.75
East Timor,29.42,USD,4.02,39.3,69.3,Portuguese,0.72,-8.874217,125.727539,25.6,14874.0,145.38,1.6735,115.3,17.8,3500000.0,25.0,4.55
Togo,33.11,XOF,4.32,47.4,60.8,French,0.08,8.619543,0.824782,70.2,56785.0,113.3,5.46,123.8,14.5,8082366.0,16.9,2.04
Tonga,24.3,TOP,3.56,13.4,70.8,Tongan Language,0.52,-21.178986,-175.198242,45.8,747.0,121.09,0.4504,116.3,6.4,100209.0,22.3,1.12
Trinidad and Tobago,12.94,TTD,1.73,16.4,73.4,English,4.17,10.691803,-61.222503,10.5,5128.0,141.75,24.1002,106.2,12.0,1394973.0,19.5,2.69
Tunisia,17.56,TND,2.2,14.6,76.5,Arabic,1.3,33.886917,9.537499,64.8,163610.0,155.33,38.7977,115.4,31.7,11694719.0,21.1,16.02
Turkey,16.03,TRY,2.07,9.1,77.4,Turkish,1.85,38.963745,35.243322,49.8,783562.0,234.44,754.4117,93.2,23.9,83429615.0,17.9,13.49
Turkmenistan,23.83,TMT,2.79,39.3,68.1,Turkmen,2.22,38.969719,59.556278,72.0,488100.0,,40.7611,88.4,8.0,5942089.0,,3.91
Tuvalu,,AUD,,20.6,,Tuvaluan Language,0.92,-7.109535,177.64933,60.0,26.0,,0.0473,86.0,,11646.0,,
Uganda,38.14,UGX,4.96,33.8,63.0,Swahili,0.17,1.373333,32.290275,71.9,241038.0,173.87,34.3872,102.7,4.8,44269594.0,11.7,1.84
Ukraine,8.7,UAH,1.3,7.5,71.6,Ukrainian,2.99,48.379433,31.16558,71.7,603550.0,281.66,153.7811,99.0,82.7,44385155.0,20.1,8.88
United Arab Emirates,10.33,AED,1.41,6.5,77.8,Arabic,2.53,23.424076,53.847818,5.5,83600.0,114.52,421.1423,108.4,36.8,9770529.0,0.1,2.35
United Kingdom,11.0,GBP,1.68,3.6,81.3,English,2.81,55.378051,-3.435973,71.7,243610.0,119.62,2827.1132,101.2,60.0,66834405.0,25.5,3.85
United States,11.6,USD,1.73,5.6,78.5,,2.61,37.09024,-95.712891,44.4,9833517.0,117.24,21427.7,101.8,88.2,328239523.0,9.6,14.7
Uruguay,13.86,UYU,1.97,6.4,77.8,Spanish,5.05,-32.522779,-55.765835,82.6,176215.0,202.92,56.0459,108.5,63.1,3461734.0,20.1,8.73
Uzbekistan,23.3,UZS,2.42,19.1,71.6,Uzbek,2.37,41.377491,64.585262,62.9,447400.0,,57.9213,104.2,10.1,33580650.0,14.8,5.92
Vanuatu,29.6,VUV,3.78,22.3,70.3,French,0.17,-15.376706,166.959158,15.3,12189.0,117.13,0.9171,109.3,4.7,299882.0,17.8,4.39
Venezuela,17.88,VED,2.27,21.4,72.1,Spanish,1.92,6.42375,-66.58973,24.5,912050.0,2740.27,482.3593,97.2,79.3,28515829.0,,8.8
Vietnam,16.75,VND,2.05,16.5,75.3,Vietnamese,0.82,14.058324,108.277199,39.3,331210.0,163.52,261.9212,110.6,28.5,96462106.0,19.1,2.01
Yemen,30.45,YER,3.79,42.9,66.1,Arabic,0.31,15.552727,48.516388,44.6,527968.0,157.58,26.9144,93.6,10.2,29161922.0,,12.91
Zambia,36.19,ZMW,4.63,40.4,63.5,English,1.19,-13.133897,27.849332,32.1,752618.0,212.31,23.0647,98.7,4.1,17861030.0,16.2,11.43
Zimbabwe,30.68,,3.62,33.9,61.2,Shona,0.21,-19.015438,29.154857,41.9,390757.0,105.51,21.4408,109.9,10.0,14645468.0,20.7,4.95
